,description,accession,organism,taxon_id,valid,ffn
0,spike glycoprotein [Bat coronavirus HKU9-10-1],ADM33574,Bat coronavirus HKU9-10-1,875612,True,./genbank_files/875612.fna
1,spike protein [Bovine coronavirus Bubalus/Italy/179/07-11],ABV74054,Bovine coronavirus Bubalus/Italy/179/07-11,473588,True,./genbank_files/473588.fna
2,spike protein [Bat SARS-like coronavirus WIV1],AGZ48828,Bat SARS-like coronavirus WIV1,1415852,True,./genbank_files/1415852.fna
3,spike protein [Bat SARS-like coronavirus WIV1],AGZ48831,Bat SARS-like coronavirus WIV1,1415852,True,./genbank_files/1415852.fna
4,nucleocapsid protein [Murine coronavirus SA59/RJHM],ACN89733,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
5,non-structural protein ns4 [Murine coronavirus SA59/RJHM],ACN89732,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
6,internal protein [Murine coronavirus SA59/RJHM],ACN89731,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
7,non-structural protein ns5 [Murine coronavirus SA59/RJHM],ACN89730,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
8,ORF1a polyprotein [Murine coronavirus SA59/RJHM],ACN89729,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
9,non-structural protein ns2 [Murine coronavirus SA59/RJHM],ACN89728,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
10,hemagglutinin-esterase [Murine coronavirus SA59/RJHM],ACN89727,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
11,envelope protein [Murine coronavirus SA59/RJHM],ACN89726,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
12,membrane protein [Murine coronavirus SA59/RJHM],ACN89725,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
13,"ORF1b polyprotein, partial [Murine coronavirus SA59/RJHM]",ACN89724,Murine coronavirus SA59/RJHM,430472,False,./genbank_files/430472.fna
14,spike protein [Murine coronavirus SA59/RJHM],ACN89723,Murine coronavirus SA59/RJHM,430472,True,./genbank_files/430472.fna
15,Spike glycoprotein [Bat coronavirus HKU4-3],ABN10857,Bat coronavirus HKU4-3,424361,True,./genbank_files/424361.fna
16,spike glycoprotein [Coronavirus BtRl-BetaCoV/SC2018],QDF43815,Coronavirus BtRl-BetaCoV/SC2018,2591233,True,./genbank_files/2591233.fna
17,spike protein [Human enteric coronavirus strain 4408],ACT11030,Human enteric coronavirus strain 4408,627439,True,./genbank_files/627439.fna
18,membrane protein [Murine coronavirus RA59/R13],ACN89692,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
19,"ORF1b polyprotein, partial [Murine coronavirus RA59/R13]",ACN89691,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
20,non-structural protein ns5 [Murine coronavirus RA59/R13],ACN89690,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
21,spike protein [Murine coronavirus RA59/R13],ACN89689,Murine coronavirus RA59/R13,591069,True,./genbank_files/591069.fna
22,non-structural protein ns2 [Murine coronavirus RA59/R13],ACN89688,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
23,envelope protein [Murine coronavirus RA59/R13],ACN89687,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
24,nucleocapsid protein [Murine coronavirus RA59/R13],ACN89686,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
25,ORF1a polyprotein [Murine coronavirus RA59/R13],ACN89685,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
26,internal protein [Murine coronavirus RA59/R13],ACN89684,Murine coronavirus RA59/R13,591069,False,./genbank_files/591069.fna
27,putative spike glycoprotein [SARS coronavirus TW4],AAR87545,SARS coronavirus TW4,258967,False,./genbank_files/258967.fna
28,putative spike glycoprotein [SARS coronavirus TW3],AAR87534,SARS coronavirus TW3,258966,False,./genbank_files/258966.fna
29,putative spike glycoprotein [SARS coronavirus TW9],AAR87600,SARS coronavirus TW9,258972,False,./genbank_files/258972.fna
30,"ORF1b polyprotein, partial [Murine coronavirus MHV-JHM.IA]",ACN89771,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
31,non-structural protein ns2 [Murine coronavirus MHV-JHM.IA],ACN89770,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
32,ORF1a polyprotein [Murine coronavirus MHV-JHM.IA],ACN89769,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
33,membrane protein [Murine coronavirus MHV-JHM.IA],ACN89768,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
34,non-structural protein ns5 [Murine coronavirus MHV-JHM.IA],ACN89767,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
35,envelope protein [Murine coronavirus MHV-JHM.IA],ACN89766,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
36,internal protein [Murine coronavirus MHV-JHM.IA],ACN89765,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
37,non-structural protein ns4 [Murine coronavirus MHV-JHM.IA],ACN89764,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
38,spike protein [Murine coronavirus MHV-JHM.IA],ACN89763,Murine coronavirus MHV-JHM.IA,591068,True,./genbank_files/591068.fna
39,hemagglutinin-esterase [Murine coronavirus MHV-JHM.IA],ACN89762,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
40,nucleocapsid protein [Murine coronavirus MHV-JHM.IA],ACN89761,Murine coronavirus MHV-JHM.IA,591068,False,./genbank_files/591068.fna
41,Spike glycoprotein [Bat coronavirus HKU4-2],ABN10848,Bat coronavirus HKU4-2,424360,True,./genbank_files/424360.fna
42,spike protein [SARS coronavirus Sino3-11],AAR23258,SARS coronavirus Sino3-11,255729,True,./genbank_files/255729.fna
43,spike protein [Bovine coronavirus DB2],ABG89288,Bovine coronavirus DB2,398808,True,./genbank_files/398808.fna
44,spike glycoprotein [SARS coronavirus BJ302],AAR07631,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
45,spike glycoprotein [SARS coronavirus BJ302],AAR07630,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
46,spike glycoprotein [SARS coronavirus BJ302],AAR07629,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
47,spike glycoprotein [SARS coronavirus BJ302],AAR07628,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
48,spike glycoprotein [SARS coronavirus BJ302],AAR07627,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
49,spike glycoprotein [SARS coronavirus BJ302],AAR07626,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
50,spike glycoprotein [SARS coronavirus BJ302],AAR07625,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
51,spike glycoprotein [SARS coronavirus BJ302],AAR07624,SARS coronavirus BJ302,252654,True,./genbank_files/252654.fna
52,spike glycoprotein [Bat coronavirus HKU9-10-2],ADM33582,Bat coronavirus HKU9-10-2,875613,True,./genbank_files/875613.fna
