id,accession,organism,collection_date,country,host,isolation_source,coded_by,protein_id,taxon_id,isolate
1069,ADB10847.1,Bovine coronavirus Bubalus/153/ITA/2008,2008-04-01 00:00:00,Italy,Bubalus bubalis,intestinal content,GU001946.1:132..>817,1,592,153/08-B
1070,ADB10848.1,Bovine coronavirus Bubalus/155/ITA/2008,2008-04-01 00:00:00,Italy,Bubalus bubalis,intestinal content,GU001947.1:132..>817,1,593,155/08
1071,ADB10845.1,Bovine coronavirus Bubalus/339/ITA/2007,2007-07-01 00:00:00,Italy,Bubalus bubalis,feces,GU001944.1:132..>817,1,594,339/07-C
1072,ADB10846.1,Bovine coronavirus Bubalus/82/ITA/2008,2008-02-01 00:00:00,Italy,Bubalus bubalis,intestinal content,GU001945.1:132..>817,1,595,82/08
1073,ABV74054.1,Bovine coronavirus Bubalus/Italy/179/07-11,,Italy,Bubalus bubalis,feces,EU019216.1:2337..6428,1,596,179/07-11
1074,ABG89288.1,Bovine coronavirus DB2,1983-01-01 00:00:00,,bovine,,DQ811784.2:23626..27717,1,609,DB2
1075,ACT10995.1,Bovine coronavirus E-AH187-TC,2000-01-01 00:00:00,USA: Ohio,bovine,,FJ938064.1:23625..27716,1,611,E-AH187-TC
1076,ABP38243.1,Bovine coronavirus E-AH65-TC,,USA:Ohio,bovine,,EF424616.1:23625..27716,1,613,E-AH65-TC
1077,ACT10983.1,Bovine coronavirus E-DB2-TC,1996-11-30 00:00:00,USA: Ohio,bovine,,FJ938063.1:23625..27716,1,614,E-DB2-TC
1078,ABI93999.2,Bovine coronavirus isolate Alpaca,,USA,alpaca,,DQ915164.2:23641..27732,1,616,Bovine coronavirus isolate Alpaca
1079,Q9QAR5.1,Bovine coronavirus (strain LSU-94LSS-051),,,Bos taurus (Bovine),,,1,618,Bovine coronavirus (strain LSU-94LSS-051)
1080,P25192.1,Bovine coronavirus LY-138,,,Bos taurus (Bovine),,,1,619,Bovine coronavirus LY-138
1081,P15777.1,Bovine coronavirus Mebus,,,Bos taurus (Bovine),,,1,620,Bovine coronavirus Mebus
1082,ABP38295.1,Bovine coronavirus R-AH187,,USA:Ohio,bovine,,EF424620.1:23625..27716,1,621,R-AH187
1083,ABP38267.1,Bovine coronavirus R-AH65-TC,,USA:Ohio,bovine,,EF424618.1:23625..27716,1,623,R-AH65-TC
1084,P25190.1,Bovine coronavirus strain F15,,,Bos taurus (Bovine),,,1,624,Bovine coronavirus strain F15
1085,P25191.1,Bovine coronavirus strain L9,,,Bos taurus (Bovine),,,1,625,Bovine coronavirus strain L9
1086,Q9QAQ8.1,Bovine coronavirus (strain OK-0514-3),,,Bos taurus (Bovine),,,1,627,Bovine coronavirus (strain OK-0514-3)
1087,P25193.2,Bovine coronavirus strain Quebec,,,Bos taurus (Bovine),,,1,629,Bovine coronavirus strain Quebec
1088,P25194.1,Bovine coronavirus strain vaccine,,,Bos taurus (Bovine),,,1,630,Bovine coronavirus strain vaccine
1089,Q91A26.1,Bovine enteric coronavirus (strain 98TXSF-110-ENT),,,Bos taurus (Bovine),,,1,633,Bovine enteric coronavirus (strain 98TXSF-110-ENT)
